image,algae_index
images/WhatsApp Image 2024-01-12 at 09.14.45 (1).jpeg,0.0013580322265625
images/WhatsApp Image 2024-01-12 at 09.14.45.jpeg,0.004819652498186545
images/WhatsApp Image 2024-01-12 at 09.14.46 (1).jpeg,0.1402740478515625
images/WhatsApp Image 2024-01-12 at 09.14.46.jpeg,0.19598897298177084
images/10-1-2024-1309.jpeg,91.75026671732687
images/WhatsApp Image 2024-01-12 at 09.14.46 (3).jpeg,0.16034444173177084
images/9-1-2024-1156.jpeg,6.259573716958651
images/WhatsApp Image 2024-01-12 at 09.14.47.jpeg,0.05145263671875
images/WhatsApp Image 2024-01-12 at 09.14.46 (2).jpeg,0.0745968288845486
images/11-1-2024-1152.jpeg,1.0377903684858185
